timestamp,cycle,mode,episode_in_mode,total_reward,steps,v_out_mean
1768408129,1,test,18,2.0,199,-62.38455581665039
1768408152,1,test,19,2.0,200,-62.62896728515625
1768408176,1,test,20,2.0,205,-62.167572021484375
1768408199,1,test,21,2.0,197,-62.5724983215332
1768408222,1,test,22,2.0,203,-62.178096771240234
1768408251,1,test,23,3.0,245,-62.276092529296875
1768408275,1,test,24,2.0,203,-62.293670654296875
1768408298,1,test,25,2.0,197,-62.235328674316406
1768408313,1,test,26,0.0,133,-62.27332305908203
1768408337,1,test,27,2.0,202,-62.418312072753906
1768408351,1,test,28,0.0,128,-62.305477142333984
1768408381,1,test,29,3.0,249,-62.24497985839844
1768408409,1,test,30,3.0,245,-62.71940994262695
1768408438,1,test,31,3.0,248,-62.47987747192383
1768408468,1,test,32,3.0,252,-62.54981231689453
1768408491,1,test,33,2.0,200,-62.340614318847656
1768408514,1,test,34,2.0,202,-62.60600280761719
1768408538,1,test,35,2.0,208,-62.50069808959961
1768408567,1,test,36,3.0,246,-62.48760223388672
1768408590,1,test,37,2.0,201,-62.31202697753906
1768408614,1,test,38,2.0,201,-62.58852005004883
1768408637,1,test,39,2.0,201,-62.63631820678711
1768408660,1,test,40,2.0,199,-62.49087142944336
1768408675,1,test,41,0.0,130,-62.38578796386719
1768408699,1,test,42,2.0,201,-62.5158576965332
1768408722,1,test,43,2.0,198,-62.646583557128906
1768408745,1,test,44,2.0,200,-62.586631774902344
1768408768,1,test,45,2.0,199,-62.384395599365234
1768408792,1,test,46,2.0,202,-62.61835479736328
1768408820,1,test,47,3.0,248,-62.236602783203125
1768408844,1,test,48,2.0,201,-62.2105827331543
1768408867,1,test,49,2.0,202,-62.701053619384766
1768408891,1,test,50,2.0,201,-62.53500747680664
1768408914,1,test,51,2.0,199,-62.34191131591797
1768408938,1,test,52,2.0,207,-62.541221618652344
1768408961,1,test,53,2.0,198,-62.24808883666992
1768408984,1,test,54,2.0,199,-62.45864486694336
1768409007,1,test,55,2.0,202,-62.39231491088867
1768409037,1,test,56,3.0,254,-62.321388244628906
1768409060,1,test,57,2.0,199,-62.383934020996094
1768409084,1,test,58,2.0,205,-62.53487777709961
1768409108,1,test,59,2.0,202,-62.42486572265625
1768409131,1,test,60,2.0,202,-62.31646728515625
1768409154,1,test,61,2.0,202,-62.42943572998047
1768409183,1,test,62,3.0,246,-62.59040832519531
1768409206,1,test,63,2.0,198,-62.427024841308594
1768409235,1,test,64,3.0,247,-62.55779266357422
1768409258,1,test,65,2.0,203,-62.76973342895508
1768409283,1,test,66,2.0,210,-62.201412200927734
1768409312,1,test,67,3.0,249,-62.48509979248047
1768409341,1,test,68,3.0,247,-62.82741928100586
1768409356,1,test,69,0.0,132,-62.602596282958984
1768409379,1,test,70,2.0,203,-62.34669876098633
1768409403,1,test,71,2.0,202,-62.43218994140625
1768409427,1,test,72,2.0,204,-62.49224090576172
1768409450,1,test,73,2.0,201,-62.41147994995117
1768409479,1,test,74,3.0,248,-62.4027099609375
1768409502,1,test,75,2.0,197,-62.69357681274414
1768409526,1,test,76,2.0,207,-62.48200607299805
1768409549,1,test,77,2.0,201,-62.60799789428711
1768409579,1,test,78,3.0,256,-62.499053955078125
1768409608,1,test,79,3.0,252,-62.36412811279297
1768409631,1,test,80,2.0,200,-62.50161361694336
1768409655,1,test,81,2.0,205,-62.32664489746094
1768409678,1,test,82,2.0,200,-62.256099700927734
1768409702,1,test,83,2.0,200,-62.4453010559082
1768409725,1,test,84,2.0,202,-62.33076858520508
1768409749,1,test,85,2.0,201,-62.61604309082031
1768409777,1,test,86,3.0,248,-62.48435974121094
1768409806,1,test,87,3.0,247,-62.369441986083984
