timestamp,cycle,mode,episode_in_mode,total_reward,reward_cum_avg,steps,v_out_mean,out_first_spike_step,out_first_spike_time,out_first_spike_neurons,reward_std
1770059561,2,test,46,0.0,0.8723404255319149,132,-52.512733459472656,3,3.0,0|1|2|3,
1770059592,2,test,47,3.0,0.9166666666666666,271,-52.97038650512695,3,3.0,0|1|2|3,
1770059616,2,test,48,2.0,0.9387755102040817,212,-52.782527923583984,3,3.0,0|1|2|3,
1770059633,2,test,49,0.0,0.92,140,-52.82313919067383,3,3.0,0|1|2|3,
1770059651,2,test,50,0.0,0.9019607843137255,164,-53.22045135498047,3,3.0,0|1|2|3,
1770059667,2,test,51,0.0,0.8846153846153846,137,-53.15690994262695,3,3.0,0|1|2|3,
1770059682,2,test,52,0.0,0.8679245283018868,129,-52.87941360473633,3,3.0,0|1|2|3,
1770059709,2,test,53,2.0,0.8888888888888888,228,-52.99564743041992,3,3.0,0|1|2|3,
1770059731,2,test,54,1.0,0.8909090909090909,198,-52.63707733154297,3,3.0,0|1|2|3,
1770059747,2,test,55,0.0,0.875,139,-53.168983459472656,3,3.0,0|1|2|3,
1770059763,2,test,56,0.0,0.8596491228070176,132,-52.98871994018555,3,3.0,0|1|2|3,
1770059788,2,test,57,2.0,0.8793103448275862,217,-53.149566650390625,3,3.0,0|1|2|3,
1770059810,2,test,58,2.0,0.8983050847457628,192,-53.06061935424805,3,3.0,0|1|2|3,
1770059834,2,test,59,2.0,0.9166666666666666,210,-53.51678466796875,3,3.0,0|1|2|3,
1770059849,2,test,60,0.0,0.9016393442622951,126,-52.7330322265625,3,3.0,0|1|2|3,
1770059868,2,test,61,1.0,0.9032258064516129,163,-52.96280288696289,3,3.0,0|1|2|3,
1770059884,2,test,62,0.0,0.8888888888888888,142,-53.12125778198242,3,3.0,0|1|2|3,
1770059899,2,test,63,0.0,0.875,125,-53.18647003173828,3,3.0,0|1|2|3,
1770059914,2,test,64,0.0,0.8615384615384616,133,-52.986961364746094,3,3.0,0|1|2|3,
1770059936,2,test,65,1.0,0.8636363636363636,186,-53.226463317871094,3,3.0,0|1|2|3,
1770059969,2,test,66,3.0,0.8955223880597015,287,-53.0827751159668,3,3.0,0|1|2|3,
